id_const,territorio,id_tiempo,tipo,unidad,valor
1,Andalucía,202604,Mercantiles,Número de Sociedades,1825
2,Andalucía,202603,Mercantiles,Número de Sociedades,2380
3,Andalucía,202602,Mercantiles,Número de Sociedades,2138
4,Andalucía,202601,Mercantiles,Número de Sociedades,1918
5,Andalucía,202512,Mercantiles,Número de Sociedades,2048
6,Andalucía,202511,Mercantiles,Número de Sociedades,1904
7,Andalucía,202510,Mercantiles,Número de Sociedades,1941
8,Andalucía,202509,Mercantiles,Número de Sociedades,1520
9,Andalucía,202508,Mercantiles,Número de Sociedades,1188
10,Andalucía,202507,Mercantiles,Número de Sociedades,1769
11,Andalucía,202506,Mercantiles,Número de Sociedades,1835
12,Andalucía,202505,Mercantiles,Número de Sociedades,2364
13,Andalucía,202504,Mercantiles,Número de Sociedades,1975
14,Andalucía,202503,Mercantiles,Número de Sociedades,1804
15,Andalucía,202502,Mercantiles,Número de Sociedades,1292
16,Andalucía,202501,Mercantiles,Número de Sociedades,1864
17,Andalucía,202412,Mercantiles,Número de Sociedades,1577
18,Andalucía,202411,Mercantiles,Número de Sociedades,1798
19,Andalucía,202410,Mercantiles,Número de Sociedades,1857
20,Andalucía,202409,Mercantiles,Número de Sociedades,1535
21,Andalucía,202408,Mercantiles,Número de Sociedades,1005
22,Andalucía,202407,Mercantiles,Número de Sociedades,1564
23,Andalucía,202406,Mercantiles,Número de Sociedades,1661
24,Andalucía,202405,Mercantiles,Número de Sociedades,1570
25,Andalucía,202404,Mercantiles,Número de Sociedades,2133
26,Andalucía,202403,Mercantiles,Número de Sociedades,1865
27,Andalucía,202402,Mercantiles,Número de Sociedades,1617
28,Andalucía,202401,Mercantiles,Número de Sociedades,1909
29,Andalucía,202312,Mercantiles,Número de Sociedades,1501
30,Andalucía,202311,Mercantiles,Número de Sociedades,1690
31,Andalucía,202310,Mercantiles,Número de Sociedades,1444
32,Andalucía,202309,Mercantiles,Número de Sociedades,1166
33,Andalucía,202308,Mercantiles,Número de Sociedades,1106
34,Andalucía,202307,Mercantiles,Número de Sociedades,1359
35,Andalucía,202306,Mercantiles,Número de Sociedades,1883
36,Andalucía,202305,Mercantiles,Número de Sociedades,2029
37,Andalucía,202304,Mercantiles,Número de Sociedades,1505
38,Andalucía,202303,Mercantiles,Número de Sociedades,2211
39,Andalucía,202302,Mercantiles,Número de Sociedades,1657
40,Andalucía,202301,Mercantiles,Número de Sociedades,1680
41,Andalucía,202212,Mercantiles,Número de Sociedades,1466
42,Andalucía,202211,Mercantiles,Número de Sociedades,1601
43,Andalucía,202210,Mercantiles,Número de Sociedades,1244
44,Andalucía,202209,Mercantiles,Número de Sociedades,1214
45,Andalucía,202208,Mercantiles,Número de Sociedades,923
46,Andalucía,202207,Mercantiles,Número de Sociedades,1201
47,Andalucía,202206,Mercantiles,Número de Sociedades,1538
48,Andalucía,202205,Mercantiles,Número de Sociedades,1544
49,Andalucía,202204,Mercantiles,Número de Sociedades,1473
50,Andalucía,202203,Mercantiles,Número de Sociedades,1927
51,Andalucía,202202,Mercantiles,Número de Sociedades,1586
52,Andalucía,202201,Mercantiles,Número de Sociedades,1482
53,Andalucía,202112,Mercantiles,Número de Sociedades,1529
