id_dis,territorio,id_tiempo,razon,numero_sociedades
1,Andalucía,202604,Voluntaria,300.0
2,Andalucía,202603,Voluntaria,395.0
3,Andalucía,202602,Voluntaria,442.0
4,Andalucía,202601,Voluntaria,668.0
5,Andalucía,202512,Voluntaria,507.0
6,Andalucía,202511,Voluntaria,423.0
7,Andalucía,202510,Voluntaria,299.0
8,Andalucía,202509,Voluntaria,241.0
9,Andalucía,202508,Voluntaria,190.0
10,Andalucía,202507,Voluntaria,234.0
11,Andalucía,202506,Voluntaria,217.0
12,Andalucía,202505,Voluntaria,288.0
13,Andalucía,202504,Voluntaria,250.0
14,Andalucía,202503,Voluntaria,319.0
15,Andalucía,202502,Voluntaria,357.0
16,Andalucía,202501,Voluntaria,609.0
17,Andalucía,202412,Voluntaria,493.0
18,Andalucía,202411,Voluntaria,366.0
19,Andalucía,202410,Voluntaria,305.0
20,Andalucía,202409,Voluntaria,235.0
21,Andalucía,202408,Voluntaria,171.0
22,Andalucía,202407,Voluntaria,242.0
23,Andalucía,202406,Voluntaria,207.0
24,Andalucía,202405,Voluntaria,218.0
25,Andalucía,202404,Voluntaria,284.0
26,Andalucía,202403,Voluntaria,301.0
27,Andalucía,202402,Voluntaria,374.0
28,Andalucía,202401,Voluntaria,568.0
29,Andalucía,202312,Voluntaria,386.0
30,Andalucía,202311,Voluntaria,304.0
31,Andalucía,202310,Voluntaria,224.0
32,Andalucía,202309,Voluntaria,195.0
33,Andalucía,202308,Voluntaria,163.0
34,Andalucía,202307,Voluntaria,217.0
35,Andalucía,202306,Voluntaria,227.0
36,Andalucía,202305,Voluntaria,241.0
37,Andalucía,202304,Voluntaria,197.0
38,Andalucía,202303,Voluntaria,374.0
39,Andalucía,202302,Voluntaria,296.0
40,Andalucía,202301,Voluntaria,478.0
41,Andalucía,202212,Voluntaria,440.0
42,Andalucía,202211,Voluntaria,338.0
43,Andalucía,202210,Voluntaria,191.0
44,Andalucía,202209,Voluntaria,205.0
45,Andalucía,202208,Voluntaria,169.0
46,Andalucía,202207,Voluntaria,184.0
47,Andalucía,202206,Voluntaria,219.0
48,Andalucía,202205,Voluntaria,234.0
49,Andalucía,202204,Voluntaria,195.0
50,Andalucía,202203,Voluntaria,319.0
51,Andalucía,202202,Voluntaria,371.0
52,Andalucía,202201,Voluntaria,497.0
53,Andalucía,202112,Voluntaria,401.0
54,Andalucía,202111,Voluntaria,268.0
55,Andalucía,202110,Voluntaria,209.0
56,Andalucía,202109,Voluntaria,143.0
57,Andalucía,202108,Voluntaria,176.0
58,Andalucía,202107,Voluntaria,181.0
59,Andalucía,202106,Voluntaria,220.0
60,Andalucía,202105,Voluntaria,222.0
61,Andalucía,202104,Voluntaria,233.0
62,Andalucía,202103,Voluntaria,281.0
63,Andalucía,202102,Voluntaria,289.0
64,Andalucía,202101,Voluntaria,357.0
65,Andalucía,202012,Voluntaria,328.0
66,Andalucía,202011,Voluntaria,247.0
67,Andalucía,202010,Voluntaria,206.0
68,Andalucía,202009,Voluntaria,177.0
69,Andalucía,202008,Voluntaria,125.0
70,Andalucía,202007,Voluntaria,139.0
71,Andalucía,202006,Voluntaria,135.0
72,Andalucía,202005,Voluntaria,54.0
73,Andalucía,202004,Voluntaria,61.0
74,Andalucía,202003,Voluntaria,211.0
75,Andalucía,202002,Voluntaria,334.0
76,Andalucía,202001,Voluntaria,411.0
77,Andalucía,201912,Voluntaria,307.0
78,Andalucía,201911,Voluntaria,225.0
79,Andalucía,201910,Voluntaria,215.0
80,Andalucía,201909,Voluntaria,152.0
81,Andalucía,201908,Voluntaria,135.0
82,Andalucía,201907,Voluntaria,159.0
83,Andalucía,201906,Voluntaria,175.0
84,Andalucía,201905,Voluntaria,182.0
85,Andalucía,201904,Voluntaria,195.0
86,Andalucía,201903,Voluntaria,260.0
87,Andalucía,201902,Voluntaria,306.0
88,Andalucía,201901,Voluntaria,449.0
89,Andalucía,201812,Voluntaria,322.0
90,Andalucía,201811,Voluntaria,231.0
91,Andalucía,201810,Voluntaria,207.0
92,Andalucía,201809,Voluntaria,141.0
93,Andalucía,201808,Voluntaria,138.0
94,Andalucía,201807,Voluntaria,135.0
95,Andalucía,201806,Voluntaria,153.0
96,Andalucía,201805,Voluntaria,167.0
97,Andalucía,201804,Voluntaria,199.0
98,Andalucía,201803,Voluntaria,218.0
99,Andalucía,201802,Voluntaria,273.0
100,Andalucía,201801,Voluntaria,433.0
101,Andalucía,201712,Voluntaria,325.0
102,Andalucía,201711,Voluntaria,245.0
103,Andalucía,201710,Voluntaria,154.0
104,Andalucía,201709,Voluntaria,132.0
