id_const,id_tiempo,tipo,numero_sociedades,capital,id_territorio
4181,202604,S.A.,2,300000,2
4182,202603,S.A.,2,950000,2
4183,202602,S.A.,1,60000,2
4184,202601,S.A.,2,120000,2
4185,202512,S.A.,2,120000,2
4186,202511,S.A.,5,1040000,2
4187,202510,S.A.,4,459000,2
4188,202509,S.A.,1,10000000,2
4189,202508,S.A.,2,130000,2
4190,202507,S.A.,4,5785000,2
4191,202506,S.A.,1,500000,2
4192,202505,S.A.,1,60000,2
4193,202504,S.A.,3,200000,2
4194,202503,S.A.,3,1320000,2
4195,202502,S.A.,1,64000,2
4196,202501,S.A.,2,12728000,2
4197,202412,S.A.,3,1350000,2
4198,202411,S.A.,3,1620000,2
4199,202410,S.A.,3,1120000,2
4200,202409,S.A.,3,180000,2
4201,202408,S.A.,4,320000,2
4202,202407,S.A.,2,1840000,2
4203,202406,S.A.,3,220000,2
4204,202405,S.A.,1,60000,2
4205,202404,S.A.,4,244000,2
4206,202403,S.A.,3,2120000,2
4207,202402,S.A.,2,301000,2
4208,202401,S.A.,2,810000,2
4209,202312,S.A.,4,1180000,2
4210,202311,S.A.,1,100000,2
4211,202310,S.A.,3,1060000,2
4212,202309,S.A.,3,6000000,2
4213,202308,S.A.,0,0,2
4214,202307,S.A.,1,200000,2
4215,202306,S.A.,2,120000,2
4216,202305,S.A.,4,3700000,2
4217,202304,S.A.,0,0,2
4218,202303,S.A.,4,8702000,2
4219,202302,S.A.,1,100000,2
4220,202301,S.A.,3,721000,2
4221,202212,S.A.,2,210000,2
4222,202211,S.A.,3,180000,2
4223,202210,S.A.,1,60000,2
4224,202209,S.A.,2,1260000,2
4225,202208,S.A.,0,0,2
4226,202207,S.A.,1,60000,2
4227,202206,S.A.,4,1141000,2
4228,202205,S.A.,1,66000,2
4229,202204,S.A.,2,1560000,2
4230,202203,S.A.,1,60000,2
4231,202202,S.A.,1,60000,2
4232,202201,S.A.,3,220000,2
4233,202112,S.A.,1,60000,2
4234,202111,S.A.,4,410000,2
4235,202110,S.A.,4,386000,2
4236,202109,S.A.,0,0,2
4237,202108,S.A.,3,180000,2
4238,202107,S.A.,4,9851000,2
4239,202106,S.A.,8,1060000,2
4240,202105,S.A.,0,0,2
4241,202104,S.A.,2,160000,2
4242,202103,S.A.,4,1250000,2
4243,202102,S.A.,7,468000,2
4244,202101,S.A.,1,60000,2
4245,202012,S.A.,0,0,2
4246,202011,S.A.,0,0,2
4247,202010,S.A.,1,15000000,2
4248,202009,S.A.,3,670000,2
4249,202008,S.A.,7,8894000,2
4250,202007,S.A.,1,60000,2
4251,202006,S.A.,3,180000,2
4252,202005,S.A.,0,0,2
4253,202004,S.A.,0,0,2
4254,202003,S.A.,3,220000,2
4255,202002,S.A.,2,915000,2
4256,202001,S.A.,1,60000,2
4257,201912,S.A.,1,60000,2
4258,201911,S.A.,2,120000,2
4259,201910,S.A.,4,600000,2
4260,201909,S.A.,4,193000,2
4261,201908,S.A.,2,560000,2
4262,201907,S.A.,3,240000,2
4263,201906,S.A.,2,1150000,2
4264,201905,S.A.,4,388000,2
4265,201904,S.A.,4,1120000,2
4266,201903,S.A.,3,180000,2
4267,201902,S.A.,4,240000,2
4268,201901,S.A.,4,462000,2
4269,201812,S.A.,0,0,2
4270,201811,S.A.,2,1060000,2
4271,201810,S.A.,1,60000,2
4272,201809,S.A.,0,0,2
4273,201808,S.A.,2,2560000,2
4274,201807,S.A.,3,1320000,2
4275,201806,S.A.,2,120000,2
4276,201805,S.A.,2,1060000,2
4277,201804,S.A.,6,360000,2
4278,201803,S.A.,1,60000,2
4279,201802,S.A.,2,120000,2
4280,201801,S.A.,8,1920000,2
4281,201712,S.A.,4,180000,2
4282,201711,S.A.,4,9395000,2
4283,201710,S.A.,1,200000,2
4284,201709,S.A.,1,60000,2
4285,201708,S.A.,4,2730000,2
4286,201707,S.A.,2,3269000,2
4287,201706,S.A.,3,2160000,2
4288,201705,S.A.,2,120000,2
4289,201704,S.A.,2,120000,2
4290,201703,S.A.,5,300000,2
4291,201702,S.A.,1,60000,2
4292,201701,S.A.,5,1295000,2
4293,201612,S.A.,3,2300000,2
4294,201611,S.A.,2,360000,2
4295,201610,S.A.,3,220000,2
4296,201609,S.A.,0,0,2
4297,201608,S.A.,2,340000,2
4298,201607,S.A.,2,2230000,2
4299,201606,S.A.,3,610000,2
4300,201605,S.A.,4,2260000,2
4301,201604,S.A.,1,60000,2
4302,201603,S.A.,5,305000,2
4303,201602,S.A.,2,262000,2
4304,201601,S.A.,9,2400000,2
4305,201512,S.A.,1,60000,2
4306,201511,S.A.,4,380000,2
4307,201510,S.A.,5,352000,2
4308,201509,S.A.,4,420000,2
4309,201508,S.A.,2,120000,2
4310,201507,S.A.,4,420000,2
4311,201506,S.A.,2,3400000,2
4312,201505,S.A.,4,220000,2
4313,201504,S.A.,5,300000,2
4314,201503,S.A.,2,5967000,2
4315,201502,S.A.,8,490000,2
4316,201501,S.A.,4,360000,2
4317,201412,S.A.,1,60000,2
4318,201411,S.A.,7,5879000,2
4319,201410,S.A.,3,4460000,2
4320,201409,S.A.,3,270000,2
4321,201408,S.A.,3,420000,2
4322,201407,S.A.,5,2464000,2
4323,201406,S.A.,5,300000,2
4324,201405,S.A.,7,1400000,2
4325,201404,S.A.,0,0,2
4326,201403,S.A.,5,2245000,2
4327,201402,S.A.,2,177000,2
4328,201401,S.A.,5,1790000,2
4329,201312,S.A.,1,60000,2
4330,201311,S.A.,1,250000,2
4331,201310,S.A.,4,818000,2
4332,201309,S.A.,1,60000,2
4333,201308,S.A.,0,0,2
4334,201307,S.A.,5,9767000,2
4335,201306,S.A.,6,15253000,2
4336,201305,S.A.,3,266000,2
4337,201304,S.A.,2,120000,2
4338,201303,S.A.,4,6679000,2
