id_dis,id_tiempo,razon,numero_sociedades,id_territorio
1,202604,voluntaria,300,2
2,202603,voluntaria,395,2
3,202602,voluntaria,442,2
4,202601,voluntaria,668,2
5,202512,voluntaria,507,2
6,202511,voluntaria,423,2
7,202510,voluntaria,299,2
8,202509,voluntaria,241,2
9,202508,voluntaria,190,2
10,202507,voluntaria,234,2
11,202506,voluntaria,217,2
12,202505,voluntaria,288,2
13,202504,voluntaria,250,2
14,202503,voluntaria,319,2
15,202502,voluntaria,357,2
16,202501,voluntaria,609,2
17,202412,voluntaria,493,2
18,202411,voluntaria,366,2
19,202410,voluntaria,305,2
20,202409,voluntaria,235,2
21,202408,voluntaria,171,2
22,202407,voluntaria,242,2
23,202406,voluntaria,207,2
24,202405,voluntaria,218,2
25,202404,voluntaria,284,2
26,202403,voluntaria,301,2
27,202402,voluntaria,374,2
28,202401,voluntaria,568,2
29,202312,voluntaria,386,2
30,202311,voluntaria,304,2
31,202310,voluntaria,224,2
32,202309,voluntaria,195,2
33,202308,voluntaria,163,2
34,202307,voluntaria,217,2
35,202306,voluntaria,227,2
36,202305,voluntaria,241,2
37,202304,voluntaria,197,2
38,202303,voluntaria,374,2
39,202302,voluntaria,296,2
40,202301,voluntaria,478,2
41,202212,voluntaria,440,2
42,202211,voluntaria,338,2
43,202210,voluntaria,191,2
44,202209,voluntaria,205,2
45,202208,voluntaria,169,2
46,202207,voluntaria,184,2
47,202206,voluntaria,219,2
48,202205,voluntaria,234,2
49,202204,voluntaria,195,2
50,202203,voluntaria,319,2
51,202202,voluntaria,371,2
52,202201,voluntaria,497,2
53,202112,voluntaria,401,2
54,202111,voluntaria,268,2
55,202110,voluntaria,209,2
56,202109,voluntaria,143,2
57,202108,voluntaria,176,2
58,202107,voluntaria,181,2
59,202106,voluntaria,220,2
60,202105,voluntaria,222,2
61,202104,voluntaria,233,2
62,202103,voluntaria,281,2
63,202102,voluntaria,289,2
64,202101,voluntaria,357,2
65,202012,voluntaria,328,2
66,202011,voluntaria,247,2
67,202010,voluntaria,206,2
68,202009,voluntaria,177,2
69,202008,voluntaria,125,2
70,202007,voluntaria,139,2
71,202006,voluntaria,135,2
72,202005,voluntaria,54,2
73,202004,voluntaria,61,2
74,202003,voluntaria,211,2
75,202002,voluntaria,334,2
76,202001,voluntaria,411,2
77,201912,voluntaria,307,2
78,201911,voluntaria,225,2
79,201910,voluntaria,215,2
80,201909,voluntaria,152,2
81,201908,voluntaria,135,2
82,201907,voluntaria,159,2
83,201906,voluntaria,175,2
84,201905,voluntaria,182,2
85,201904,voluntaria,195,2
86,201903,voluntaria,260,2
87,201902,voluntaria,306,2
88,201901,voluntaria,449,2
89,201812,voluntaria,322,2
90,201811,voluntaria,231,2
91,201810,voluntaria,207,2
92,201809,voluntaria,141,2
93,201808,voluntaria,138,2
94,201807,voluntaria,135,2
95,201806,voluntaria,153,2
96,201805,voluntaria,167,2
97,201804,voluntaria,199,2
98,201803,voluntaria,218,2
99,201802,voluntaria,273,2
100,201801,voluntaria,433,2
101,201712,voluntaria,325,2
102,201711,voluntaria,245,2
103,201710,voluntaria,154,2
104,201709,voluntaria,132,2
105,201708,voluntaria,158,2
106,201707,voluntaria,147,2
107,201706,voluntaria,187,2
108,201705,voluntaria,190,2
109,201704,voluntaria,151,2
110,201703,voluntaria,295,2
111,201702,voluntaria,309,2
112,201701,voluntaria,398,2
113,201612,voluntaria,287,2
114,201611,voluntaria,207,2
115,201610,voluntaria,156,2
116,201609,voluntaria,131,2
117,201608,voluntaria,128,2
118,201607,voluntaria,188,2
119,201606,voluntaria,231,2
120,201605,voluntaria,152,2
121,201604,voluntaria,176,2
122,201603,voluntaria,214,2
123,201602,voluntaria,244,2
124,201601,voluntaria,342,2
125,201512,voluntaria,253,2
126,201511,voluntaria,203,2
127,201510,voluntaria,127,2
128,201509,voluntaria,141,2
129,201508,voluntaria,141,2
130,201507,voluntaria,134,2
131,201506,voluntaria,133,2
132,201505,voluntaria,164,2
133,201504,voluntaria,158,2
134,201503,voluntaria,201,2
135,201502,voluntaria,215,2
136,201501,voluntaria,365,2
137,201412,voluntaria,224,2
138,201411,voluntaria,194,2
139,201410,voluntaria,183,2
140,201409,voluntaria,160,2
141,201408,voluntaria,135,2
142,201407,voluntaria,156,2
143,201406,voluntaria,126,2
144,201405,voluntaria,158,2
145,201404,voluntaria,177,2
146,201403,voluntaria,203,2
147,201402,voluntaria,226,2
148,201401,voluntaria,345,2
149,201312,voluntaria,265,2
150,201311,voluntaria,199,2
151,201310,voluntaria,229,2
152,201309,voluntaria,174,2
153,201308,voluntaria,146,2
154,201307,voluntaria,187,2
155,201306,voluntaria,153,2
156,201305,voluntaria,234,2
157,201304,voluntaria,237,2
158,201303,voluntaria,214,2
159,201302,voluntaria,272,2
160,201301,voluntaria,443,2
161,201212,voluntaria,285,2
162,201211,voluntaria,212,2
163,201210,voluntaria,193,2
164,201209,voluntaria,145,2
165,201208,voluntaria,167,2
166,201207,voluntaria,154,2
167,201206,voluntaria,169,2
168,201205,voluntaria,181,2
169,201204,voluntaria,176,2
170,201203,voluntaria,252,2
171,201202,voluntaria,311,2
172,201201,voluntaria,419,2
173,201112,voluntaria,302,2
174,201111,voluntaria,179,2
175,201110,voluntaria,186,2
176,201109,voluntaria,167,2
177,201108,voluntaria,131,2
178,201107,voluntaria,127,2
179,201106,voluntaria,171,2
180,201105,voluntaria,201,2
181,201104,voluntaria,149,2
182,201103,voluntaria,244,2
183,201102,voluntaria,220,2
184,201101,voluntaria,332,2
185,201012,voluntaria,273,2
186,201011,voluntaria,196,2
187,201010,voluntaria,144,2
188,201009,voluntaria,154,2
189,201008,voluntaria,121,2
190,201007,voluntaria,166,2
191,201006,voluntaria,155,2
192,201005,voluntaria,302,2
193,201004,voluntaria,149,2
194,201003,voluntaria,219,2
195,201002,voluntaria,232,2
196,201001,voluntaria,319,2
197,200912,voluntaria,271,2
198,200911,voluntaria,172,2
199,200910,voluntaria,148,2
200,200909,voluntaria,137,2
201,200908,voluntaria,112,2
202,200907,voluntaria,111,2
203,200906,voluntaria,199,2
204,200905,voluntaria,146,2
205,200904,voluntaria,159,2
206,200903,voluntaria,314,2
207,200902,voluntaria,382,2
208,200901,voluntaria,336,2
