id_sector,nombre_sector
1,indice_general
2,alimentos_y_bebidas_no_alcoholicas
3,bebidas_alcoholicas_y_tabaco
4,vestido_y_calzado
5,vivienda_agua_electricidad_gas_y_otros_combustibles
6,muebles_articulos_del_hogar_y_articulos_para_el_mantenimiento_corriente_del_hogar
7,sanidad
8,transporte
9,informacion_y_comunicaciones
10,actividades_recreativas_deporte_y_cultura
11,ensenanza
12,restaurantes_y_servicios_de_alojamiento
13,seguros_y_servicios_financieros
14,cuidado_personal_proteccion_social_y_bienes_y_servicios_diversos
