id_tiempo,anio,mes,nombre_mes
202605,2026,5,mayo
202604,2026,4,abril
202603,2026,3,marzo
202602,2026,2,febrero
202601,2026,1,enero
202512,2025,12,diciembre
202511,2025,11,noviembre
202510,2025,10,octubre
202509,2025,9,septiembre
202508,2025,8,agosto
202507,2025,7,julio
202506,2025,6,junio
202505,2025,5,mayo
202504,2025,4,abril
202503,2025,3,marzo
202502,2025,2,febrero
202501,2025,1,enero
202412,2024,12,diciembre
202411,2024,11,noviembre
202410,2024,10,octubre
202409,2024,9,septiembre
202408,2024,8,agosto
202407,2024,7,julio
202406,2024,6,junio
202405,2024,5,mayo
202404,2024,4,abril
202403,2024,3,marzo
202402,2024,2,febrero
202401,2024,1,enero
202312,2023,12,diciembre
202311,2023,11,noviembre
202310,2023,10,octubre
202309,2023,9,septiembre
202308,2023,8,agosto
202307,2023,7,julio
202306,2023,6,junio
202305,2023,5,mayo
202304,2023,4,abril
202303,2023,3,marzo
202302,2023,2,febrero
202301,2023,1,enero
202212,2022,12,diciembre
202211,2022,11,noviembre
202210,2022,10,octubre
202209,2022,9,septiembre
202208,2022,8,agosto
202207,2022,7,julio
202206,2022,6,junio
202205,2022,5,mayo
202204,2022,4,abril
202203,2022,3,marzo
202202,2022,2,febrero
202201,2022,1,enero
202112,2021,12,diciembre
202111,2021,11,noviembre
202110,2021,10,octubre
202109,2021,9,septiembre
202108,2021,8,agosto
202107,2021,7,julio
202106,2021,6,junio
202105,2021,5,mayo
202104,2021,4,abril
202103,2021,3,marzo
202102,2021,2,febrero
202101,2021,1,enero
202012,2020,12,diciembre
202011,2020,11,noviembre
202010,2020,10,octubre
202009,2020,9,septiembre
202008,2020,8,agosto
202007,2020,7,julio
202006,2020,6,junio
202005,2020,5,mayo
202004,2020,4,abril
202003,2020,3,marzo
202002,2020,2,febrero
202001,2020,1,enero
201912,2019,12,diciembre
201911,2019,11,noviembre
201910,2019,10,octubre
201909,2019,9,septiembre
201908,2019,8,agosto
201907,2019,7,julio
201906,2019,6,junio
201905,2019,5,mayo
201904,2019,4,abril
201903,2019,3,marzo
201902,2019,2,febrero
201901,2019,1,enero
201812,2018,12,diciembre
201811,2018,11,noviembre
201810,2018,10,octubre
201809,2018,9,septiembre
201808,2018,8,agosto
201807,2018,7,julio
201806,2018,6,junio
201805,2018,5,mayo
201804,2018,4,abril
201803,2018,3,marzo
201802,2018,2,febrero
201801,2018,1,enero
201712,2017,12,diciembre
201711,2017,11,noviembre
201710,2017,10,octubre
201709,2017,9,septiembre
201708,2017,8,agosto
201707,2017,7,julio
201706,2017,6,junio
201705,2017,5,mayo
201704,2017,4,abril
201703,2017,3,marzo
201702,2017,2,febrero
201701,2017,1,enero
201612,2016,12,diciembre
201611,2016,11,noviembre
201610,2016,10,octubre
201609,2016,9,septiembre
201608,2016,8,agosto
201607,2016,7,julio
201606,2016,6,junio
201605,2016,5,mayo
201604,2016,4,abril
201603,2016,3,marzo
201602,2016,2,febrero
201601,2016,1,enero
201512,2015,12,diciembre
201511,2015,11,noviembre
201510,2015,10,octubre
201509,2015,9,septiembre
201508,2015,8,agosto
201507,2015,7,julio
201506,2015,6,junio
201505,2015,5,mayo
201504,2015,4,abril
201503,2015,3,marzo
201502,2015,2,febrero
201501,2015,1,enero
201412,2014,12,diciembre
201411,2014,11,noviembre
201410,2014,10,octubre
201409,2014,9,septiembre
201408,2014,8,agosto
201407,2014,7,julio
201406,2014,6,junio
201405,2014,5,mayo
201404,2014,4,abril
201403,2014,3,marzo
201402,2014,2,febrero
201401,2014,1,enero
201312,2013,12,diciembre
201311,2013,11,noviembre
201310,2013,10,octubre
201309,2013,9,septiembre
201308,2013,8,agosto
201307,2013,7,julio
201306,2013,6,junio
201305,2013,5,mayo
201304,2013,4,abril
201303,2013,3,marzo
201302,2013,2,febrero
201301,2013,1,enero
201212,2012,12,diciembre
201211,2012,11,noviembre
201210,2012,10,octubre
201209,2012,9,septiembre
201208,2012,8,agosto
201207,2012,7,julio
201206,2012,6,junio
201205,2012,5,mayo
201204,2012,4,abril
201203,2012,3,marzo
201202,2012,2,febrero
201201,2012,1,enero
201112,2011,12,diciembre
201111,2011,11,noviembre
201110,2011,10,octubre
201109,2011,9,septiembre
201108,2011,8,agosto
201107,2011,7,julio
201106,2011,6,junio
201105,2011,5,mayo
201104,2011,4,abril
201103,2011,3,marzo
201102,2011,2,febrero
201101,2011,1,enero
201012,2010,12,diciembre
201011,2010,11,noviembre
